student_id,course_id,session_date,duration_minutes
S1,C1,2024-01-05,40
S1,C1,2024-01-07,35
S2,C1,2024-01-06,20
S3,C2,2024-01-08,60
S4,C1,2024-01-09,25
S4,C1,2024-01-11,30
S5,C2,2024-01-10,35
S5,C2,2024-01-12,40
S6,C3,2024-01-11,50
S6,C3,2024-01-13,45
S7,C3,2024-01-12,15
S8,C1,2024-01-13,55
S8,C1,2024-01-15,50
S9,C2,2024-01-14,30
S10,C3,2024-01-15,40
S10,C3,2024-01-17,35
S11,C1,2024-01-16,20
S12,C2,2024-01-17,45
S12,C2,2024-01-19,50
S13,C3,2024-01-18,60
S13,C3,2024-01-20,55
S14,C1,2024-01-19,40
S15,C2,2024-01-20,25
S15,C2,2024-01-22,30
